,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
65,65,0.0314136370969275,2023-12-18 19:26:05.459150,2023-12-18 19:26:13.662535,0 days 00:00:08.203385,0.3675387580910794,546,COMPLETE
66,66,0.031471776999626964,2023-12-18 19:26:13.663427,2023-12-18 19:26:22.333102,0 days 00:00:08.669675,0.40862557812416783,560,COMPLETE
67,67,0.03143942916611334,2023-12-18 19:26:22.334047,2023-12-18 19:26:30.983003,0 days 00:00:08.648956,0.40032540011049855,594,COMPLETE
68,68,0.031441192658809465,2023-12-18 19:26:30.983879,2023-12-18 19:26:40.544615,0 days 00:00:09.560736,0.44837795847430545,487,COMPLETE
69,69,0.03144658594140482,2023-12-18 19:26:40.545528,2023-12-18 19:26:49.996473,0 days 00:00:09.450945,0.4689025049303056,534,COMPLETE
70,70,0.03145006547856311,2023-12-18 19:26:49.997500,2023-12-18 19:26:58.897579,0 days 00:00:08.900079,0.4366458302451059,633,COMPLETE
71,71,0.031499731917478256,2023-12-18 19:26:58.898520,2023-12-18 19:27:07.922374,0 days 00:00:09.023854,0.42153935015811633,572,COMPLETE
72,72,0.031462200364402663,2023-12-18 19:27:07.923311,2023-12-18 19:27:16.633809,0 days 00:00:08.710498,0.4558914027424902,552,COMPLETE
73,73,0.0315047060740068,2023-12-18 19:27:16.634740,2023-12-18 19:27:25.884497,0 days 00:00:09.249757,0.4251117506389946,563,COMPLETE
74,74,0.03145859429862042,2023-12-18 19:27:25.885739,2023-12-18 19:27:35.522538,0 days 00:00:09.636799,0.4327503066634385,524,COMPLETE
75,75,0.03145781140275982,2023-12-18 19:27:35.523495,2023-12-18 19:27:43.823022,0 days 00:00:08.299527,0.4524783400946659,561,COMPLETE
76,76,0.03145805655196869,2023-12-18 19:27:43.823897,2023-12-18 19:27:52.646065,0 days 00:00:08.822168,0.406670355338212,538,COMPLETE
77,77,0.03149064162665222,2023-12-18 19:27:52.646969,2023-12-18 19:28:02.242763,0 days 00:00:09.595794,0.44451066126807315,584,COMPLETE
78,78,0.031399643821923895,2023-12-18 19:28:02.243657,2023-12-18 19:28:12.353198,0 days 00:00:10.109541,0.38763747716229946,597,COMPLETE
