,number,value,datetime_start,datetime_complete,duration,params_normalize,params_shrink,params_similarity,params_topK,state
166,166,0.027340494853448305,2023-12-08 22:05:49.970994,2023-12-08 22:05:54.366840,0 days 00:00:04.395846,False,17,tversky,56,COMPLETE
167,167,0.027260849038698853,2023-12-08 22:05:54.367546,2023-12-08 22:05:58.834117,0 days 00:00:04.466571,False,18,tversky,56,COMPLETE
168,168,0.026981667583999315,2023-12-08 22:05:58.834730,2023-12-08 22:06:03.819196,0 days 00:00:04.984466,False,23,tversky,116,COMPLETE
169,169,0.02343601131165908,2023-12-08 22:06:03.819780,2023-12-08 22:06:09.601109,0 days 00:00:05.781329,False,439,tversky,100,COMPLETE
170,170,0.02620324371943551,2023-12-08 22:06:09.601867,2023-12-08 22:06:13.666863,0 days 00:00:04.064996,False,2,tversky,22,COMPLETE
171,171,0.02703374597480824,2023-12-08 22:06:13.667461,2023-12-08 22:06:18.154200,0 days 00:00:04.486739,False,39,tversky,52,COMPLETE
172,172,0.027214341861362682,2023-12-08 22:06:18.154812,2023-12-08 22:06:22.099437,0 days 00:00:03.944625,False,56,tversky,7,COMPLETE
173,173,0.027271066225081863,2023-12-08 22:06:22.100230,2023-12-08 22:06:26.397152,0 days 00:00:04.296922,False,34,tversky,36,COMPLETE
174,174,0.02737840994641529,2023-12-08 22:06:26.397858,2023-12-08 22:06:30.751218,0 days 00:00:04.353360,False,18,tversky,62,COMPLETE
175,175,0.02537789355146876,2023-12-08 22:06:30.751940,2023-12-08 22:06:35.418423,0 days 00:00:04.666483,False,1,tversky,79,COMPLETE
176,176,0.026527200490931213,2023-12-08 22:06:35.419099,2023-12-08 22:06:40.096431,0 days 00:00:04.677332,False,70,tversky,66,COMPLETE
177,177,0.027311931016594345,2023-12-08 22:06:40.096955,2023-12-08 22:06:44.580323,0 days 00:00:04.483368,False,21,tversky,57,COMPLETE
178,178,0.027114119329145373,2023-12-08 22:06:44.580916,2023-12-08 22:06:49.267105,0 days 00:00:04.686189,False,18,tversky,89,COMPLETE
179,179,0.02711412723718436,2023-12-08 22:06:49.267872,2023-12-08 22:06:53.407684,0 days 00:00:04.139812,False,55,tversky,23,COMPLETE
180,180,0.022749814951887586,2023-12-08 22:06:53.408295,2023-12-08 22:06:57.446439,0 days 00:00:04.038144,False,568,tversky,5,COMPLETE
181,181,0.02729091144894265,2023-12-08 22:06:57.447113,2023-12-08 22:07:01.953087,0 days 00:00:04.505974,False,22,tversky,48,COMPLETE
182,182,0.027375136018270876,2023-12-08 22:07:01.953655,2023-12-08 22:07:06.520330,0 days 00:00:04.566675,False,19,tversky,63,COMPLETE
183,183,0.027070494632023257,2023-12-08 22:07:06.520968,2023-12-08 22:07:11.279437,0 days 00:00:04.758469,False,32,tversky,71,COMPLETE
