,number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_min_interactions,state
41,41,0.031195039128977215,2023-12-09 15:40:19.684719,2023-12-09 15:40:25.845589,0 days 00:00:06.160870,1.96742370359008,1.1582832018301017,0.09874644421062687,1,COMPLETE
42,42,0.031255199535640196,2023-12-09 15:40:25.846190,2023-12-09 15:40:31.716858,0 days 00:00:05.870668,1.964974855519122,1.3217356216687588,0.08341620729084301,1,COMPLETE
43,43,0.031225955607432566,2023-12-09 15:40:31.718903,2023-12-09 15:40:37.672660,0 days 00:00:05.953757,1.9475741331977907,1.2081149662963928,0.07569273704276054,1,COMPLETE
44,44,0.03125516790348422,2023-12-09 15:40:37.673605,2023-12-09 15:40:43.416741,0 days 00:00:05.743136,1.9956593868214085,1.449331133233648,0.07764088226903842,1,COMPLETE
45,45,0.03125856440623306,2023-12-09 15:40:43.419455,2023-12-09 15:40:49.528141,0 days 00:00:06.108686,1.965434754505569,1.3923909519042155,0.08955004699587454,1,COMPLETE
46,46,0.030895775209246967,2023-12-09 15:40:49.528849,2023-12-09 15:40:55.469107,0 days 00:00:05.940258,1.9836134048770488,1.4519947181416974,0.0350080544301925,3,COMPLETE
47,47,0.03119138956898048,2023-12-09 15:40:55.469922,2023-12-09 15:41:01.261986,0 days 00:00:05.792064,1.8659922079097766,1.3656996819957654,0.10254978662311075,1,COMPLETE
48,48,0.030242966590117194,2023-12-09 15:41:01.262579,2023-12-09 15:41:07.212067,0 days 00:00:05.949488,1.8078620389978601,1.5449468293296904,0.25245110619664857,7,COMPLETE
49,49,0.03090361207589212,2023-12-09 15:41:07.214357,2023-12-09 15:41:13.124263,0 days 00:00:05.909906,1.897873957681207,1.4215425971223437,0.030996072971677134,3,COMPLETE
50,50,0.031028369299095016,2023-12-09 15:41:13.125282,2023-12-09 15:41:19.191328,0 days 00:00:06.066046,1.77505399242964,1.2134617136988808,0.24096863756680448,1,COMPLETE
51,51,0.03125246730816704,2023-12-09 15:41:19.191918,2023-12-09 15:41:25.154978,0 days 00:00:05.963060,1.9212809526969388,1.341672484896361,0.07469218912293328,1,COMPLETE
52,52,0.03125114271163519,2023-12-09 15:41:25.155889,2023-12-09 15:41:31.041474,0 days 00:00:05.885585,1.9943265906357361,1.3556503040590742,0.09040278023493346,1,COMPLETE
53,53,0.03089658578324404,2023-12-09 15:41:31.042278,2023-12-09 15:41:36.923858,0 days 00:00:05.881580,1.994137049443324,1.3819870789014188,0.01084660310658761,2,COMPLETE
