,number,value,datetime_start,datetime_complete,duration,params_alpha,system_attrs_fixed_params,state
70,70,0.02821757605820125,2023-12-08 20:44:43.023322,2023-12-08 20:44:47.426698,0 days 00:00:04.403376,0.5758595377198494,,COMPLETE
71,71,0.028217427248677443,2023-12-08 20:44:47.427378,2023-12-08 20:44:52.038011,0 days 00:00:04.610633,0.5736496032222115,,COMPLETE
72,72,0.02822724454365097,2023-12-08 20:44:52.038598,2023-12-08 20:44:56.574387,0 days 00:00:04.535789,0.5776224110844556,,COMPLETE
73,73,0.028188434193121878,2023-12-08 20:44:56.574930,2023-12-08 20:45:00.991735,0 days 00:00:04.416805,0.5857984320129836,,COMPLETE
74,74,0.028185011574074235,2023-12-08 20:45:00.992246,2023-12-08 20:45:05.281853,0 days 00:00:04.289607,0.5577709923687323,,COMPLETE
75,75,0.028212074239418166,2023-12-08 20:45:05.282388,2023-12-08 20:45:09.629188,0 days 00:00:04.346800,0.5502658155872324,,COMPLETE
76,76,0.028208957506613935,2023-12-08 20:45:09.629812,2023-12-08 20:45:14.015119,0 days 00:00:04.385307,0.5657791596997759,,COMPLETE
77,77,0.028216059027777955,2023-12-08 20:45:14.015751,2023-12-08 20:45:18.498459,0 days 00:00:04.482708,0.5769419902105523,,COMPLETE
78,78,0.028187549603174756,2023-12-08 20:45:18.499200,2023-12-08 20:45:22.822466,0 days 00:00:04.323266,0.5316871479066297,,COMPLETE
79,79,0.028156336805555748,2023-12-08 20:45:22.823091,2023-12-08 20:45:27.413731,0 days 00:00:04.590640,0.5911184033424003,,COMPLETE
80,80,0.028150723379629802,2023-12-08 20:45:27.414286,2023-12-08 20:45:31.981215,0 days 00:00:04.566929,0.6000677915096851,,COMPLETE
81,81,0.028210276124338806,2023-12-08 20:45:31.981846,2023-12-08 20:45:36.460348,0 days 00:00:04.478502,0.5812584118705879,,COMPLETE
82,82,0.028224425429894354,2023-12-08 20:45:36.460950,2023-12-08 20:45:41.029181,0 days 00:00:04.568231,0.5780606135707467,,COMPLETE
83,83,0.028220556382275313,2023-12-08 20:45:41.029981,2023-12-08 20:45:45.560244,0 days 00:00:04.530263,0.5694426543246744,,COMPLETE
84,84,0.028211338458994883,2023-12-08 20:45:45.560843,2023-12-08 20:45:50.145973,0 days 00:00:04.585130,0.5644118462580714,,COMPLETE
85,85,0.028205104993386403,2023-12-08 20:45:50.146714,2023-12-08 20:45:54.745459,0 days 00:00:04.598745,0.5405026881971509,,COMPLETE
86,86,0.02819959904100547,2023-12-08 20:45:54.746013,2023-12-08 20:45:59.340393,0 days 00:00:04.594380,0.5476263837656936,,COMPLETE
87,87,0.028214810681217114,2023-12-08 20:45:59.341020,2023-12-08 20:46:03.660439,0 days 00:00:04.319419,0.5690097569710609,,COMPLETE
88,88,0.028177682705026613,2023-12-08 20:46:03.660966,2023-12-08 20:46:07.980581,0 days 00:00:04.319615,0.5586214753287702,,COMPLETE
89,89,0.028213388723545146,2023-12-08 20:46:07.981358,2023-12-08 20:46:12.274210,0 days 00:00:04.292852,0.5828685029910287,,COMPLETE
90,90,0.028163396990740934,2023-12-08 20:46:12.274866,2023-12-08 20:46:16.630908,0 days 00:00:04.356042,0.5914343151736299,,COMPLETE
91,91,0.028220556382275313,2023-12-08 20:46:16.631448,2023-12-08 20:46:20.977624,0 days 00:00:04.346176,0.5693699508173636,,COMPLETE
92,92,0.028217018022486964,2023-12-08 20:46:20.978174,2023-12-08 20:46:25.531792,0 days 00:00:04.553618,0.5728150098956385,,COMPLETE
93,93,0.028185759755291168,2023-12-08 20:46:25.532310,2023-12-08 20:46:29.996463,0 days 00:00:04.464153,0.5571751667982247,,COMPLETE
94,94,0.028218448247354675,2023-12-08 20:46:29.997221,2023-12-08 20:46:34.503880,0 days 00:00:04.506659,0.5789616012425204,,COMPLETE
95,95,0.028166786541005445,2023-12-08 20:46:34.504489,2023-12-08 20:46:38.870042,0 days 00:00:04.365553,0.5957273805108132,,COMPLETE
96,96,0.028193158895502838,2023-12-08 20:46:38.870728,2023-12-08 20:46:43.286719,0 days 00:00:04.415991,0.5873724603753493,,COMPLETE
97,97,0.02823162615740759,2023-12-08 20:46:43.287359,2023-12-08 20:46:47.667287,0 days 00:00:04.379928,0.5699724161363167,,COMPLETE
98,98,0.028231841104497543,2023-12-08 20:46:47.667889,2023-12-08 20:46:52.281087,0 days 00:00:04.613198,0.5701884841794258,,COMPLETE
99,99,0.028193543320105974,2023-12-08 20:46:52.281615,2023-12-08 20:46:56.729511,0 days 00:00:04.447896,0.5518758259798954,,COMPLETE
