,Fold,MAP,topK,l1_ratio,alpha,epochs
120,0,4.636324226660361e-05,291,0.10830462542192155,0.26958245660745683,-1.0
121,1,4.298563437579456e-05,291,0.10830462542192155,0.26958245660745683,-1.0
122,2,2.9575797904664673e-05,291,0.10830462542192155,0.26958245660745683,-1.0
123,3,5.9109658161745494e-05,291,0.10830462542192155,0.26958245660745683,-1.0
124,4,2.8004740837739975e-05,291,0.10830462542192155,0.26958245660745683,-1.0
125,5,5.1871315570924845e-05,291,0.10830462542192155,0.26958245660745683,-1.0
126,6,3.315787637942984e-05,291,0.10830462542192155,0.26958245660745683,-1.0
127,7,5.223727422003285e-05,291,0.10830462542192155,0.26958245660745683,-1.0
128,0,0.022724631519274435,454,0.005345025816782683,0.8816673636363135,-1.0
129,1,0.022817645714527938,454,0.005345025816782683,0.8816673636363135,-1.0
130,2,0.02308518832494714,454,0.005345025816782683,0.8816673636363135,-1.0
131,3,0.023036557786653533,454,0.005345025816782683,0.8816673636363135,-1.0
132,4,0.02217052844881545,454,0.005345025816782683,0.8816673636363135,-1.0
133,5,0.02300259886031361,454,0.005345025816782683,0.8816673636363135,-1.0
134,6,0.022781656180194426,454,0.005345025816782683,0.8816673636363135,-1.0
135,7,0.02264346910539435,454,0.005345025816782683,0.8816673636363135,-1.0
136,0,0.02488102437944875,687,1.110904842024196e-05,0.9580088069903435,-1.0
137,1,0.025075010140084588,687,1.110904842024196e-05,0.9580088069903435,-1.0
138,2,0.025428076156445253,687,1.110904842024196e-05,0.9580088069903435,-1.0
139,3,0.025443556108770613,687,1.110904842024196e-05,0.9580088069903435,-1.0
140,4,0.024399093511811954,687,1.110904842024196e-05,0.9580088069903435,-1.0
141,5,0.025187460574623528,687,1.110904842024196e-05,0.9580088069903435,-1.0
142,6,0.02500823070542191,687,1.110904842024196e-05,0.9580088069903435,-1.0
143,7,0.024892382016663724,687,1.110904842024196e-05,0.9580088069903435,-1.0
144,0,0.02711801387221566,882,0.003597401998193645,0.36075418514651464,-1.0
145,1,0.027355776215902176,882,0.003597401998193645,0.36075418514651464,-1.0
146,2,0.027455269786577398,882,0.003597401998193645,0.36075418514651464,-1.0
147,3,0.02734476543074793,882,0.003597401998193645,0.36075418514651464,-1.0
148,4,0.02678508151725007,882,0.003597401998193645,0.36075418514651464,-1.0
149,5,0.027514438953255404,882,0.003597401998193645,0.36075418514651464,-1.0
150,6,0.026874902376478882,882,0.003597401998193645,0.36075418514651464,-1.0
151,7,0.02686428495408394,882,0.003597401998193645,0.36075418514651464,-1.0
152,0,0.033395953078201236,21,1.1093065530519369e-05,0.7355849926944072,-1.0
153,1,0.03293597066337381,21,1.1093065530519369e-05,0.7355849926944072,-1.0
154,2,0.03322234148253524,21,1.1093065530519369e-05,0.7355849926944072,-1.0
155,3,0.033541206920659636,21,1.1093065530519369e-05,0.7355849926944072,-1.0
156,4,0.033353975983595366,21,1.1093065530519369e-05,0.7355849926944072,-1.0
157,5,0.03320070145024912,21,1.1093065530519369e-05,0.7355849926944072,-1.0
158,6,0.03283265925713655,21,1.1093065530519369e-05,0.7355849926944072,-1.0
159,7,0.03254394727239593,21,1.1093065530519369e-05,0.7355849926944072,-1.0
