,Fold,MAP,topK,alpha,beta,normalize_similarity
63,7,0.023628164436310935,5,0.299251080119042,0.20808784421106127,True
64,0,0.009205640097132189,292,0.3748571384662819,0.6743313758443661,True
65,1,0.00892264659117748,292,0.3748571384662819,0.6743313758443661,True
66,2,0.008756686203658907,292,0.3748571384662819,0.6743313758443661,True
67,3,0.009022182746611124,292,0.3748571384662819,0.6743313758443661,True
68,4,0.008936985695745787,292,0.3748571384662819,0.6743313758443661,True
69,5,0.008950049911145444,292,0.3748571384662819,0.6743313758443661,True
70,6,0.009013765915583536,292,0.3748571384662819,0.6743313758443661,True
71,7,0.009181722362016568,292,0.3748571384662819,0.6743313758443661,True
72,0,0.026353933743986476,289,0.37644615066224263,0.3052238651926627,True
73,1,0.024948495527243163,289,0.37644615066224263,0.3052238651926627,True
74,2,0.025724121388580736,289,0.37644615066224263,0.3052238651926627,True
75,3,0.026036115408859115,289,0.37644615066224263,0.3052238651926627,True
76,4,0.024984031115357942,289,0.37644615066224263,0.3052238651926627,True
77,5,0.025460974729701043,289,0.37644615066224263,0.3052238651926627,True
78,6,0.025719141583265593,289,0.37644615066224263,0.3052238651926627,True
79,7,0.02536808414985956,289,0.37644615066224263,0.3052238651926627,True
80,0,0.025448019142797356,276,0.37300759965230057,0.4405435515729065,False
81,1,0.024498346593872428,276,0.37300759965230057,0.4405435515729065,False
82,2,0.025093353945176314,276,0.37300759965230057,0.4405435515729065,False
83,3,0.025191142341413196,276,0.37300759965230057,0.4405435515729065,False
84,4,0.024344610194415594,276,0.37300759965230057,0.4405435515729065,False
85,5,0.02553456187869377,276,0.37300759965230057,0.4405435515729065,False
86,6,0.025124147858057277,276,0.37300759965230057,0.4405435515729065,False
87,7,0.02487620254934114,276,0.37300759965230057,0.4405435515729065,False
88,0,0.023070639884399557,33,0.2677832546388886,0.14353042583497977,False
89,1,0.02226879263306907,33,0.2677832546388886,0.14353042583497977,False
90,2,0.022598091981929854,33,0.2677832546388886,0.14353042583497977,False
91,3,0.0230022197072438,33,0.2677832546388886,0.14353042583497977,False
92,4,0.0223420027223561,33,0.2677832546388886,0.14353042583497977,False
93,5,0.02301681083675878,33,0.2677832546388886,0.14353042583497977,False
94,6,0.02231877203271719,33,0.2677832546388886,0.14353042583497977,False
95,7,0.023245822848755225,33,0.2677832546388886,0.14353042583497977,False
96,0,0.028256465894210544,300,0.37644615066224263,0.0,True
97,1,0.027101319871468812,300,0.37644615066224263,0.0,True
98,2,0.027151566594904673,300,0.37644615066224263,0.0,True
99,3,0.027823660216861328,300,0.37644615066224263,0.0,True
100,4,0.027548401843849678,300,0.37644615066224263,0.0,True
101,5,0.027703340231880303,300,0.37644615066224263,0.0,True
102,6,0.02783435732258751,300,0.37644615066224263,0.0,True
103,7,0.0272834378614004,300,0.37644615066224263,0.0,True
104,0,0.000668879087423711,133,0.26562073091801497,1.1800608219633224,False
105,1,0.000666074579237467,133,0.26562073091801497,1.1800608219633224,False
106,2,0.0005274276609667964,133,0.26562073091801497,1.1800608219633224,False
107,3,0.0005574139336173026,133,0.26562073091801497,1.1800608219633224,False
108,4,0.0005590971538860125,133,0.26562073091801497,1.1800608219633224,False
109,5,0.0006161642172056746,133,0.26562073091801497,1.1800608219633224,False
110,6,0.0006603075278581825,133,0.26562073091801497,1.1800608219633224,False
111,7,0.0005892849199994911,133,0.26562073091801497,1.1800608219633224,False
112,0,0.0021699214779727074,91,0.2655924883978845,0.8400314318595076,False
113,1,0.002066119600075461,91,0.2655924883978845,0.8400314318595076,False
114,2,0.0021057392285733266,91,0.2655924883978845,0.8400314318595076,False
115,3,0.0020976472217446984,91,0.2655924883978845,0.8400314318595076,False
116,4,0.0020255327847421333,91,0.2655924883978845,0.8400314318595076,False
117,5,0.0022473804596276075,91,0.2655924883978845,0.8400314318595076,False
118,6,0.002335069937125962,91,0.2655924883978845,0.8400314318595076,False
119,7,0.0021404583984648085,91,0.2655924883978845,0.8400314318595076,False
