,Fold,MAP,topK,l1_ratio,alpha
52,4,0.026898312794970146,5,0.023734802990440826,0.001
53,5,0.026597965107537407,5,0.023734802990440826,0.001
54,6,0.026703542170468348,5,0.023734802990440826,0.001
55,7,0.0268617216726377,5,0.023734802990440826,0.001
56,0,0.018012367182864843,5,0.001870135993744068,1.0
57,1,0.01780510911218156,5,0.001870135993744068,1.0
58,2,0.01795811584098089,5,0.001870135993744068,1.0
59,3,0.017478517663342547,5,0.001870135993744068,1.0
60,4,0.017752140674244604,5,0.001870135993744068,1.0
61,5,0.018304603158776057,5,0.001870135993744068,1.0
62,6,0.018098132232373484,5,0.001870135993744068,1.0
63,7,0.018045157795706566,5,0.001870135993744068,1.0
64,0,0.02581478890443517,5,1.0,0.001
65,1,0.024736890512032306,5,1.0,0.001
66,2,0.024677942506642507,5,1.0,0.001
67,3,0.024589673908740062,5,1.0,0.001
68,4,0.025245356959621174,5,1.0,0.001
69,5,0.025608770280472388,5,1.0,0.001
70,6,0.02545673918242017,5,1.0,0.001
71,7,0.02586167178239616,5,1.0,0.001
72,0,0.028370287351398876,392,1.047051483311034e-05,0.021300291363394827
73,1,0.0272912216048595,392,1.047051483311034e-05,0.021300291363394827
74,2,0.02745968539770491,392,1.047051483311034e-05,0.021300291363394827
75,3,0.0266855874346147,392,1.047051483311034e-05,0.021300291363394827
76,4,0.027529947132436713,392,1.047051483311034e-05,0.021300291363394827
77,5,0.028486662488307994,392,1.047051483311034e-05,0.021300291363394827
78,6,0.027846560054731392,392,1.047051483311034e-05,0.021300291363394827
79,7,0.02836917511633146,392,1.047051483311034e-05,0.021300291363394827
80,0,0.0174242716274997,422,1.0807099873036797e-05,0.9927160654997254
81,1,0.01758483608304555,422,1.0807099873036797e-05,0.9927160654997254
82,2,0.01749985474337477,422,1.0807099873036797e-05,0.9927160654997254
83,3,0.017256587626237434,422,1.0807099873036797e-05,0.9927160654997254
84,4,0.01796974136639864,422,1.0807099873036797e-05,0.9927160654997254
85,5,0.01818219227731643,422,1.0807099873036797e-05,0.9927160654997254
86,6,0.017862404564739216,422,1.0807099873036797e-05,0.9927160654997254
87,7,0.01755374287678211,422,1.0807099873036797e-05,0.9927160654997254
88,0,0.029139663027580424,764,1e-05,0.001
89,1,0.028541034106537088,764,1e-05,0.001
90,2,0.02886011237366621,764,1e-05,0.001
91,3,0.028081175201797884,764,1e-05,0.001
92,4,0.02887344926594093,764,1e-05,0.001
93,5,0.029683999734104554,764,1e-05,0.001
94,6,0.02911022109465708,764,1e-05,0.001
95,7,0.02942450814557204,764,1e-05,0.001
96,0,4.8621620678386624e-05,6,0.5702680565631436,0.9680134588090052
97,1,2.844448233884223e-05,6,0.5702680565631436,0.9680134588090052
98,2,6.439972110727948e-05,6,0.5702680565631436,0.9680134588090052
99,3,4.340017958695001e-05,6,0.5702680565631436,0.9680134588090052
100,4,4.0371666300194716e-05,6,0.5702680565631436,0.9680134588090052
101,5,1.940008894839885e-05,6,0.5702680565631436,0.9680134588090052
102,6,2.0476713083716975e-05,6,0.5702680565631436,0.9680134588090052
103,7,4.754619202833133e-05,6,0.5702680565631436,0.9680134588090052
104,0,0.029208474915051092,1000,0.0001155372937292606,0.001
105,1,0.0285838942493674,1000,0.0001155372937292606,0.001
106,2,0.028946280959290662,1000,0.0001155372937292606,0.001
107,3,0.028172960128213118,1000,0.0001155372937292606,0.001
108,4,0.028650040789922542,1000,0.0001155372937292606,0.001
109,5,0.029706205179582536,1000,0.0001155372937292606,0.001
110,6,0.02914396095329968,1000,0.0001155372937292606,0.001
111,7,0.029456572524573114,1000,0.0001155372937292606,0.001
112,0,0.020097861917769945,65,0.00020706624730094657,1.0
113,1,0.020002617081847168,65,0.00020706624730094657,1.0
114,2,0.019708933203937143,65,0.00020706624730094657,1.0
115,3,0.019446036021911507,65,0.00020706624730094657,1.0
116,4,0.02012889456123748,65,0.00020706624730094657,1.0
117,5,0.02068685732012084,65,0.00020706624730094657,1.0
118,6,0.02029033619500552,65,0.00020706624730094657,1.0
119,7,0.020256503153379946,65,0.00020706624730094657,1.0
120,0,0.018844233142654137,995,5.9322004682553186e-05,0.4297313590084005
121,1,0.018728871899567193,995,5.9322004682553186e-05,0.4297313590084005
122,2,0.018603153403559045,995,5.9322004682553186e-05,0.4297313590084005
123,3,0.01852457601484837,995,5.9322004682553186e-05,0.4297313590084005
124,4,0.019170112299754953,995,5.9322004682553186e-05,0.4297313590084005
125,5,0.019259975436314053,995,5.9322004682553186e-05,0.4297313590084005
126,6,0.018956427993392925,995,5.9322004682553186e-05,0.4297313590084005
127,7,0.01866819980170599,995,5.9322004682553186e-05,0.4297313590084005
128,0,0.028313448438873314,17,0.00034274075889757224,0.02766103644143896
129,1,0.026811407476880548,17,0.00034274075889757224,0.02766103644143896
130,2,0.027081806175840738,17,0.00034274075889757224,0.02766103644143896
131,3,0.026675206548747457,17,0.00034274075889757224,0.02766103644143896
132,4,0.02748358444629292,17,0.00034274075889757224,0.02766103644143896
133,5,0.02799993115204013,17,0.00034274075889757224,0.02766103644143896
134,6,0.027569827492006663,17,0.00034274075889757224,0.02766103644143896
135,7,0.028271512988884938,17,0.00034274075889757224,0.02766103644143896
136,0,0.018717535351804808,228,1e-05,0.8041204984854686
137,1,0.018870087741320176,228,1e-05,0.8041204984854686
